location_type,number,city,state,zip_code
Store,1301,Anchorage,AK,99503
Store,1302,Anchorage,AK,99508
Store,1303,Fairbanks,AK,99701
Store,1304,Wasilla,AK,99654
Store,8938,Kenai,AK,99611
Store,8939,Juneau,AK,99801
Store,8940,Anchorage,AK,99507
Store,0801,Mobile,AL,36695
Store,0802,Foley,AL,36535
Store,0803,Madison,AL,35757
Store,0804,Huntsville,AL,35801
Store,0805,Pelham,AL,35124
Store,0806,Prattville,AL,36066
Store,0808,Dothan,AL,36303
Store,0809,Sylacauga,AL,35150
Store,0810,Jasper,AL,35501
Store,0812,Scottsboro,AL,35768
Store,0813,Montgomery,AL,36117
Store,0816,Opelika,AL,36801
Store,0817,Phenix City,AL,36867
Store,0818,Pell City,AL,35125
Store,0863,Daphne,AL,36526
Store,0865,Mobile,AL,36609
Store,0866,Oxford,AL,36203
Store,0875,Birmingham,AL,35242
Store,0877,Tuscaloosa,AL,35404
Store,0880,Birmingham,AL,35210
Store,0881,Birmingham,AL,35244
Store,0882,Fairfield,AL,35064
Store,0883,Montgomery,AL,36117
Store,0884,Decatur,AL,35603
Store,0887,Trussville,AL,35173
Store,0888,Huntsville,AL,35803
Store,6889,Alexander City,AL,35010
Store,8577,Florence,AL,35630
Store,1401,Little Rock,AR,72211
Store,1402,North Little Rock,AR,72117
Store,1403,Fayetteville,AR,72703
Store,1404,Fort Smith,AR,72903
Store,1405,Benton,AR,72019
Store,1406,Jonesboro,AR,72404
Store,1407,Conway,AR,72032
Store,1409,Harrison,AR,72601
Store,1410,Mountain Home,AR,72653
Store,1411,Batesville,AR,72501
Store,1412,Cabot,AR,72023
Store,8445,Rogers,AR,72758
Store,8537,El Dorado,AR,71730
Store,8919,Little Rock,AR,72209
Store,0401,Phoenix,AZ,85022
Store,0402,Yuma,AZ,85365
Store,0403,Lake Havasu City,AZ,86404
Store,0404,Mesa,AZ,85209
Store,0405,Glendale,AZ,85302
Store,0406,Mesa,AZ,85215
Store,0408,Casa Grande,AZ,85122
Store,0410,Tucson,AZ,85710
Store,0411,Show Low,AZ,85901
Store,0413,Phoenix,AZ,85037
Store,0414,Tucson,AZ,85705
Store,0415,Queen Creek,AZ,85142
Store,0416,Kingman,AZ,86409
Store,0417,Chandler,AZ,85248
Store,0419,San Tan Valley,AZ,85143
Store,0420,Scottsdale,AZ,85258
Store,0421,Flagstaff,AZ,86004
Store,0422,Payson,AZ,85541
Store,0423,Cottonwood,AZ,86326
Store,0424,Peoria,AZ,85383
Store,0431,Surprise,AZ,85388
Store,0432,Maricopa,AZ,85138
Store,0441,Avondale,AZ,85323
Store,0442,Bullhead City,AZ,86429
Store,0443,Sierra Vista,AZ,85635
Store,0445,Thatcher,AZ,85552
Store,0446,Prescott Valley,AZ,86314
Store,0447,Laveen,AZ,85339
Store,0452,Prescott,AZ,86301
Store,0453,Peoria,AZ,85345
Store,0455,Phoenix,AZ,85035
Store,0456,Mesa,AZ,85209
Store,0457,Scottsdale,AZ,85250
Store,0458,Tempe,AZ,85284
Store,0459,Glendale,AZ,85308
Store,0464,Phoenix,AZ,85032
Store,0467,Tucson,AZ,85714
Store,0468,Phoenix,AZ,85023
Store,0469,Mesa,AZ,85210
Store,0470,Chandler,AZ,85224
Store,0471,Gilbert,AZ,85296
Store,0472,Scottsdale,AZ,85260
Store,0473,Mesa,AZ,85204
Store,0474,Tucson,AZ,85747
Store,0475,Glendale,AZ,85308
Store,0476,Chandler,AZ,85226
Store,0477,Phoenix,AZ,85018
Store,0478,Tucson,AZ,85741
Store,0480,Phoenix,AZ,85022
Store,0481,Oro Valley,AZ,85737
Store,0482,Flagstaff,AZ,86001
Store,0483,Surprise,AZ,85374
Store,0485,Phoenix,AZ,85031
Store,0486,Tucson,AZ,85716
Store,0488,Cave Creek,AZ,85331
Store,0489,Tempe,AZ,85283
Store,6862,Mesa,AZ,85201
Store,6948,Phoenix,AZ,85086
Store,8488,Nogales,AZ,85621
Store,8582,Chandler,AZ,85286
Store,0601,Corona,CA,92879
Store,0603,Tustin,CA,92782
Store,0606,Santa Ana,CA,92704
Store,0607,City Of Industry,CA,91748
Store,0608,Cerritos,CA,90703
Store,0609,San Fernando,CA,91340
Store,0610,San Bernardino,CA,92408
Store,0611,Gardena,CA,90248
Store,0612,Canoga Park,CA,91304
Store,0614,Mission Viejo,CA,92692
Store,0615,Orange,CA,92867
Store,0616,Moreno Valley,CA,92557
Store,0618,Torrance,CA,90505
Store,0620,Hawthorne,CA,90250
Store,0625,San Leandro,CA,94577
Store,0627,Emeryville,CA,94608
Store,0628,San Carlos,CA,94070
Store,0629,Pleasanton,CA,94588
Store,0630,Santa Clara,CA,95050
Store,0632,San Mateo,CA,94404
Store,0633,Vallejo,CA,94591
Store,0634,Concord,CA,94520
Store,0635,Union City,CA,94587
Store,0636,Roseville,CA,95661
Store,0637,Fairfield,CA,94533
Store,0638,Palmdale,CA,93551
Store,0639,Colma,CA,94014
Store,0640,Sunnyvale,CA,94086
Store,0641,Rohnert Park,CA,94928
Store,0642,Campbell,CA,95008
Store,0643,El Cerrito,CA,94530
Store,0644,Pittsburg,CA,94565
Store,0645,Rancho Cucamonga,CA,91730
Store,0647,Westminster,CA,92683
Store,0648,Signal Hill,CA,90755
Store,0649,Glendale,CA,91204
Store,0650,Carmichael,CA,95608
Store,0651,Sacramento,CA,95823
Store,0652,Rancho Cordova,CA,95742
Store,0653,Santa Clarita,CA,91351
Store,0654,Commerce,CA,90040
Store,0657,San Rafael,CA,94901
Store,0658,Chula Vista,CA,91910
Store,0659,Lemon Grove,CA,91945
Store,0660,Encinitas,CA,92024
Store,0662,Stockton,CA,95212
Store,0663,Fresno,CA,93711
Store,0664,Clovis,CA,93612
Store,0665,Victorville,CA,92395
Store,0667,Rancho Mirage,CA,92270
Store,0668,Murrieta,CA,92562
Store,0669,San Diego,CA,92128
Store,0671,San Diego,CA,92154
Store,0673,Santee,CA,92071
Store,0674,San Diego,CA,92110
Store,0679,Oceanside,CA,92056
Store,0680,San Diego,CA,92117
Store,0683,San Bernardino,CA,92405
Store,0684,La Mirada,CA,90638
Store,0687,Upland,CA,91786
Store,1001,Turlock,CA,95380
Store,1002,Huntington Park,CA,90255
Store,1003,Sacramento,CA,95832
Store,1005,San Pedro,CA,90731
Store,1006,Manteca,CA,95336
Store,1007,Oakland,CA,94601
Store,1009,San Jose,CA,95124
Store,1010,Inglewood,CA,90303
Store,1012,Camarillo,CA,93010
Store,1013,Redlands,CA,92374
Store,1014,Fresno,CA,93720
Store,1017,Hayward,CA,94541
Store,1018,Oceanside,CA,92057
Store,1019,Yuba City,CA,95993
Store,1020,Tracy,CA,95304
Store,1022,Stockton,CA,95219
Store,1028,Temecula,CA,92592
Store,1030,Chula Vista,CA,91915
Store,1031,Atascadero,CA,93422
Store,1032,San Diego,CA,92113
Store,1034,San Diego,CA,92154
Store,1037,Paramount,CA,90723
Store,1039,Los Angeles,CA,90047
Store,1040,Oxnard,CA,93036
Store,1041,Milpitas,CA,95035
Store,1043,Vacaville,CA,95687
Store,1044,Hercules,CA,94547
Store,1048,Los Angeles,CA,90017
Store,1050,Bakersfield,CA,93309
Store,1052,San Luis Obispo,CA,93405
Store,1053,Escondido,CA,92027
Store,1055,Santa Clarita,CA,91355
Store,1059,El Centro,CA,92243
Store,1060,Bakersfield,CA,93306
Store,1061,Los Angeles,CA,90056
Store,1062,Signal Hill,CA,90755
Store,1064,Bakersfield,CA,93312
Store,1068,Woodland,CA,95776
Store,1069,Watsonville,CA,95076
Store,1070,West Hills,CA,91307
Store,1072,Brea,CA,92821
Store,1073,Hanford,CA,93230
Store,1074,Vista,CA,92081
Store,1076,Brentwood,CA,94513
Store,1077,Laguna Niguel,CA,92677
Store,1080,Porterville,CA,93257
Store,1083,Upland,CA,91784
Store,1084,Mira Loma,CA,91752
Store,1085,Placerville,CA,95667
Store,1086,Fresno,CA,93727
Store,1087,Moreno Valley,CA,92551
Store,1088,Madera,CA,93637
Store,1089,Ridgecrest,CA,93555
Store,1092,Daly City,CA,94015
Store,1379,Santa Rosa,CA,95403
Store,1380,Martinez,CA,94553
Store,1840,Lake Forest,CA,92630
Store,1842,Riverbank,CA,95367
Store,1843,Salinas,CA,93907
Store,1844,Victorville,CA,92394
Store,1845,Covina,CA,91722
Store,1846,West Sacramento,CA,95605
Store,1848,El Cajon,CA,92020
Store,1857,Fontana,CA,92337
Store,1858,Compton,CA,90220
Store,1861,San Jose,CA,95125
Store,2304,Monterey Park,CA,91755
Store,6037,Pasadena,CA,91107
Store,6113,Murrieta,CA,92562
Store,6601,Modesto,CA,95351
Store,6603,East Palo Alto,CA,94303
Store,6604,San Ramon,CA,94583
Store,6609,Chico,CA,95928
Store,6610,Alhambra,CA,91803
Store,6611,Los Angeles,CA,90066
Store,6612,Escondido,CA,92029
Store,6613,North Hollywood,CA,91605
Store,6614,Lakewood,CA,90712
Store,6615,Visalia,CA,93277
Store,6616,Hollywood,CA,90028
Store,6617,Glendora,CA,91740
Store,6618,Merced,CA,95341
Store,6619,Riverside,CA,92504
Store,6620,Sacramento,CA,95826
Store,6621,San Jose,CA,95136
Store,6623,Goleta,CA,93117
Store,6627,Downey,CA,90241
Store,6628,Laguna Hills,CA,92637
Store,6629,Monrovia,CA,91016
Store,6630,La Quinta,CA,92253
Store,6632,Woodland Hills,CA,91367
Store,6634,San Diego,CA,92120
Store,6635,San Jose,CA,95129
Store,6636,Fremont,CA,94538
Store,6637,Hemet,CA,92545
Store,6638,Santa Maria,CA,93455
Store,6639,Garden Grove,CA,92843
Store,6640,Simi Valley,CA,93065
Store,6643,Anaheim,CA,92807
Store,6644,Panorama City,CA,91402
Store,6645,Pomona,CA,91766
Store,6646,Huntington Beach,CA,92647
Store,6647,Anaheim,CA,92801
Store,6649,Sacramento,CA,95834
Store,6650,Cypress,CA,90630
Store,6651,Lancaster,CA,93534
